Datum,Titel,Autor/Journalist,Link
2026-04-09,Umfrage: Deutschlandweit mehr als 400 Cannabis-Anbauvereine,Deutsche Presse-Agentur,https://www.schwaebische.de/panorama/umfrage-deutschlandweit-mehr-als-400-cannabis-anbauvereine-4491450
2026-04-05,Überraschender Wechsel bei Storz & Bickel,Dorothea Hecht,"(Print/E-Paper, Link nicht extrahiert)"
2026-04-03,"Cannabis-Legalisierung wird sehr kritisch gesehen, doch besonders Kokain-Handel in der Region macht Sorgen",Dieter Kleibauer,https://www.schwaebische.de/regional/tuttlingen/cannabis-legalisierung-wird-sehr-kritisch-gesehen-doch-besonders-kokain-handel-in-der-region-macht-sorgen-4465577
2026-04-01,Bericht zu Cannabis-Freigabe: Deutschland jetzt XL-Markt,Deutsche Presse-Agentur,https://www.schwaebische.de/politik/bericht-zu-cannabis-freigabe-deutschland-jetzt-xl-markt-4476294
2026-03-26,BGH zieht klare Linie bei Cannabis-Werbung im Netz,Deutsche Presse-Agentur,https://www.schwaebische.de/politik/bgh-zieht-klare-linie-bei-cannabis-werbung-im-netz-4462137
2026-03-25,BKA-Präsident: Cannabisgesetz macht es der Polizei schwer,Deutsche Presse-Agentur,https://www.schwaebische.de/panorama/bka-praesident-cannabisgesetz-macht-es-der-polizei-schwer-4458834
2026-02-21,CDU fordert Rücknahme der Cannabis-Legalisierung,Deutsche Presse-Agentur,https://www.schwaebische.de/regional/baden-wuerttemberg/cdu-fordert-ruecknahme-der-cannabis-legalisierung-4378841
2026-02-20,Cannabis und getuntes E-Bike: Polizei ermittelt in Schwaben,Deutsche Presse-Agentur,https://www.schwaebische.de/regional/bayern/cannabis-und-getuntes-e-bike-polizei-ermittelt-in-schwaben-4376579
2026-02-20,Gerlach fordert Rücknahme der Cannabis-Legalisierung,Deutsche Presse-Agentur,https://www.schwaebische.de/regional/bayern/gerlach-fordert-ruecknahme-der-cannabis-legalisierung-4374916
2026-01-30,Kündigungen aufgrund schrumpfender Einnahmen: Cannabis-Unternehmen Storz und Bickel entlässt Mitarbeiter,Sabine Krauss,https://www.schwaebische.de/regional/tuttlingen/tuttlingen/lahmendes-cannabis-geschaeft-firma-kuendigt-mehreren-mitarbeitern-4291934
2026-01-22,Fünf Kilo Cannabis auf dem Rücksitz - Autofahrer in Haft,Deutsche Presse-Agentur,https://www.schwaebische.de/regional/bayern/fuenf-kilo-cannabis-auf-dem-ruecksitz-autofahrer-in-haft-4290727
2026-01-14,Wie neue Pläne für Medizin-Cannabis polarisieren,Deutsche Presse-Agentur,https://www.schwaebische.de/politik/wie-neue-plaene-fuer-medizin-cannabis-polarisieren-4266522
2026-01-03,Spezialeinheit deckt Verstöße bei Cannabis-Clubs auf,Deutsche Presse-Agentur,https://www.schwaebische.de/regional/baden-wuerttemberg/spezialeinheit-deckt-verstoesse-bei-cannabis-clubs-auf-4237898
